"POLYGON ((16.370536742253329 48.19555989491591,16.37062265958934 48.195577013284016,16.370648005853401 48.195541674925678,16.370562069948672 48.195524247102846,16.370536742253329 48.19555989491591))",fav9.0,http://finder.tuwien.ac.at/spatial/room/id/HIEG02,Werkstatt
"POLYGON ((16.37048181606345 48.195548408401095,16.370536742252117 48.195559894916656,16.370562060664263 48.19552425948055,16.370507106621428 48.195512562536486,16.37048181606345 48.195548408401095))",fav9.1,http://finder.tuwien.ac.at/spatial/room/id/HIEG06,Werkstatt
"POLYGON ((16.370375840008361 48.195524690208622,16.37048181452996 48.195548410442569,16.370507105552921 48.195512562807366,16.370401186156876 48.195488485538405,16.370375840008361 48.195524690208622))",fav9.2,http://finder.tuwien.ac.at/spatial/room/id/HIEG08,Werkstatt
"POLYGON ((16.370103056727128 48.195395673047571,16.370073126453743 48.195440791261554,16.370210443623368 48.195478133164094,16.370241327858931 48.195434303809165,16.370103056727128 48.195395673047571))",fav9.3,http://finder.tuwien.ac.at/spatial/room/id/HBEG02,Serverraum
"POLYGON ((16.370067959738858 48.195439282731655,16.370097548814059 48.195394642604661,16.369996173504312 48.195366798978775,16.369966788683779 48.195411553623657,16.370067959738858 48.195439282731655))",fav9.4,http://finder.tuwien.ac.at/spatial/room/id/HBEG10,Seminarraum
"POLYGON ((16.369896608633731 48.195392442469839,16.369962852139096 48.195410402498666,16.36999221839103 48.195365638569513,16.369925761346671 48.195347576408949,16.369896608633731 48.195392442469839))",fav9.5,http://finder.tuwien.ac.at/spatial/room/id/HBEG16,Seminarraum
"POLYGON ((16.369800989592122 48.195350138593483,16.369902104941378 48.195377081750998,16.36992143950339 48.195346323166426,16.369820890496641 48.195319729663041,16.369800989592122 48.195350138593483))",fav9.6,http://finder.tuwien.ac.at/spatial/room/id/HBEG20,Traforaum
"POLYGON ((16.370209884244069 48.195419704330497,16.370240703489486 48.195427955604771,16.370263396648273 48.195394274368262,16.370233101966001 48.195385442884152,16.370209884244069 48.195419704330497))",fav9.7,http://finder.tuwien.ac.at/spatial/room/id/HCEG04,Lager
"POLYGON ((16.370281779569165 48.195310712500351,16.370260184279257 48.195344206579023,16.370290348981278 48.195353007125966,16.370311740016511 48.195319543997357,16.370281779569165 48.195310712500351))",fav9.8,http://finder.tuwien.ac.at/spatial/room/id/HCEG08,Technikerraum
"POLYGON ((16.370385754483888 48.195308391679248,16.370448729914425 48.195326036105939,16.370455414612934 48.195315199420861,16.370462897761541 48.195317093210647,16.370469749577509 48.195305210606882,16.370462860624322 48.195303007373802,16.37046416971112 48.195300866029193,16.370447058739799 48.195296100608807,16.370448906316192 48.195293074257179,16.370434190695168 48.195288933910803,16.370432333834469 48.195291991206943,16.370401305692219 48.195283190649512,16.370385754483888 48.195308391679248))",fav9.9,http://finder.tuwien.ac.at/spatial/room/id/HCEG19,
"POLYGON ((16.370335442843302 48.195388351642166,16.370351866776154 48.195392974710494,16.37035645322208 48.195385907047616,16.370373053556722 48.19539048679426,16.370376433043184 48.195385758515279,16.370406477049265 48.195393903037434,16.370410487868366 48.195387540903205,16.370417952448367 48.195389385179553,16.370425342753947 48.195377576858746,16.370418323820505 48.195375645938121,16.370425528440009 48.195363639570949,16.370433141568867 48.195365075384082,16.370440383325587 48.195353390834683,16.37043331797064 48.195351162848283,16.3704406804233 48.195339175041937,16.370447671503825 48.195341093586237,16.370455024672189 48.195329149099514,16.370385030308224 48.195309542806463,16.370335442843302 48.195388351642166))",fav9.10,http://finder.tuwien.ac.at/spatial/room/id/HCEG13,Labor
"POLYGON ((16.370323939591263 48.195406045552083,16.370275707634647 48.195477254349207,16.370339955014771 48.195494570709577,16.370345674145717 48.195486302426737,16.370353287274575 48.195487911523806,16.370360863266217 48.195476883019055,16.370353955744424 48.195474828325423,16.370361318197087 48.195463317088539,16.370368485679382 48.195464913808649,16.370376210219877 48.195453835788243,16.370369117012025 48.195451824415571,16.370376822983911 48.19543986757698,16.370384027603421 48.195441507619719,16.370391919261383 48.195430033508366,16.370384788916304 48.195428028323605,16.370387667050387 48.195423275292718,16.370323939591263 48.195406045552083))",fav9.11,http://finder.tuwien.ac.at/spatial/room/id/HCEG03,Büro
"POLYGON ((16.370270926218328 48.19523406964808,16.370272857353452 48.195231024726205,16.370285484006192 48.195234762801007,16.370292911448978 48.195223424798442,16.370280878991665 48.195219216368898,16.370287823650667 48.19520916564754,16.370298890540418 48.19521238385903,16.370306800766983 48.195200625008376,16.370227809912933 48.195175993301966,16.370203559312227 48.195213200789603,16.370270926218328 48.19523406964808))",fav9.12,http://finder.tuwien.ac.at/spatial/room/id/HGEG01A,
"POLYGON ((16.370370228807296 48.195093077816203,16.370297551279616 48.195069510546354,16.370271518092647 48.195108822330781,16.37034478981575 48.195132340071488,16.370370228807296 48.195093077816203))",fav9.13,http://finder.tuwien.ac.at/spatial/room/id/HGEG11,Labor
