WKT,id,type,form
"POLYGON ((16.37043251576403 48.195145469343821,16.370435212118096 48.195146281871743,16.370444085058981 48.195133268396724,16.370441405542234 48.195132486705425,16.37043251576403 48.195145469343821))",http://finder.tuwien.ac.at/spatial/accessunit/id/HGEG05EX,http://finder.tuwien.ac.at/vocab/spatial#Exit,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.37031846304243 48.195195979825655,16.37031773172335 48.195197135071147,16.37032881578968 48.195200452408244,16.370329544982859 48.195199245295811,16.37031846304243 48.195195979825655))",http://finder.tuwien.ac.at/spatial/accessunit/id/HGEG01-05,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370390508181156 48.195026821128224,16.370402742713438 48.195030470483246,16.370403396308575 48.19502950870141,16.370391189073228 48.195025765418535,16.370390508181156 48.195026821128224))",http://finder.tuwien.ac.at/spatial/accessunit/id/HGEG08-15,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369793112885514 48.195261303652728,16.36980824865773 48.195265484981299,16.369809279931729 48.195264163831055,16.369794011239865 48.195259917393017,16.369793112885514 48.195261303652728))",http://finder.tuwien.ac.at/spatial/accessunit/id/HAEGPARK-03B,http://finder.tuwien.ac.at/vocab/spatial#Entrance,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.36973202481866 48.195293779174669,16.369738621970011 48.195283838208333,16.369737128717965 48.19528342163489,16.369730269678506 48.195293328782356,16.36973202481866 48.195293779174669))",http://finder.tuwien.ac.at/spatial/accessunit/id/HAEG03-03B,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369786634095515 48.195309088295744,16.369805737385487 48.195314027016899,16.369806741237952 48.195312566483501,16.369787887982508 48.195307372382196,16.369786634095515 48.195309088295744))",http://finder.tuwien.ac.at/spatial/accessunit/id/HBEG26-HAEG03B,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370103606102269 48.195017411265901,16.370119956008576 48.195027204475103,16.370121026162987 48.195025419544287,16.370105790189982 48.195015615694075,16.370103606102269 48.195017411265901))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG01-01A-1,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370128974788781 48.195031149930813,16.370147691647031 48.195037253382289,16.37014884778041 48.195035447591472,16.370130064541275 48.195029490056974,16.370128974788781 48.195031149930813))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG01-01A-2,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370180134636197 48.195041746584643,16.370180454213383 48.195039656966465,16.37015944105103 48.195037907641598,16.370158855634543 48.195039867040556,16.370180134636197 48.195041746584643))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG01-01A-3,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.3696025407049 48.195201971381813,16.369604563620491 48.195202510958033,16.369622149448467 48.195183226720879,16.369620288731262 48.195182672131416,16.3696025407049 48.195201971381813))",http://finder.tuwien.ac.at/spatial/accessunit/id/HAEG12M2,http://finder.tuwien.ac.at/vocab/spatial#Entrance,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369915169654231 48.195102190826432,16.369916918997692 48.19510266809133,16.369921537691678 48.195094840825263,16.369919807602649 48.195094310869628,16.369915169654231 48.195102190826432))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG08-HFEG15A,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369911250457601 48.195112281347662,16.369909493396815 48.195111789948875,16.369904786693841 48.195119675913404,16.369906514184464 48.195120142473712,16.369911250457601 48.195112281347662))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG08-HFEG15,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
